file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdate2/0,false,307,2,0,0,0,1,4,8,0,1,0,4,0,0,0,0,0,0,1,10,1,0,0,0,0,0,15,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testGetMaxX/0,false,581,2,0,0,0,1,5,14,0,1,0,5,0,0,0,0,0,0,1,13,1,0,0,0,0,0,14,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testCloning2/0,false,126,2,0,0,0,1,4,12,0,2,0,4,0,0,0,0,0,0,1,9,2,0,0,0,0,0,21,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testToArray/0,false,469,3,0,0,0,1,5,21,0,2,0,5,0,0,0,0,0,0,1,29,4,0,0,0,0,0,15,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAddOrUpdate3/0,false,361,2,0,0,0,1,4,10,0,1,0,4,0,0,0,0,0,0,1,13,1,0,0,0,0,0,14,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSetMaximumItemCount2/0,false,414,2,0,0,0,1,5,9,0,1,0,5,0,0,0,0,0,0,1,11,1,0,0,0,0,0,20,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testGetMinX/0,false,557,2,0,0,0,1,5,14,0,1,0,5,0,0,0,0,0,0,1,13,1,0,0,0,0,0,14,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testBug1955483/0,false,522,2,0,0,0,1,4,8,0,1,0,4,0,0,0,0,0,0,1,9,1,0,0,0,0,0,13,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testClear/0,false,669,2,0,0,0,1,10,13,0,1,0,10,0,0,0,0,0,0,1,8,1,0,0,0,0,0,12,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSetKey/0,false,776,3,0,0,0,2,6,23,0,3,0,6,0,0,0,0,1,0,11,1,3,0,1,0,0,0,19,1,0,false
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAdditionOfDuplicateXValues/0,false,270,2,0,0,0,1,4,13,0,1,0,4,0,0,0,0,0,0,1,20,1,0,0,0,0,0,28,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testDelete/0,false,535,2,0,0,0,1,10,17,0,1,0,10,0,0,0,0,0,0,1,23,1,0,0,0,0,0,12,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testEquals/0,false,55,2,0,0,0,1,4,16,0,2,0,4,0,0,0,0,0,0,4,8,2,0,0,0,0,0,18,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testGetMaxY/0,false,629,2,0,0,0,1,5,14,0,1,0,5,0,0,0,0,0,0,1,13,1,0,0,0,0,0,14,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSetMaximumItemCount3/0,false,429,2,0,0,0,1,9,16,0,1,0,9,0,0,0,0,0,0,1,21,1,0,0,0,0,0,24,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testIndexOf3/0,false,210,2,0,0,0,1,3,8,0,1,0,3,0,0,0,0,0,0,1,10,1,0,0,0,0,0,21,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testCloning3/0,false,147,2,0,0,0,1,4,9,0,2,0,4,0,0,0,0,0,0,1,4,2,0,0,0,0,0,21,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testGetMinY/0,false,605,2,0,0,0,1,5,14,0,1,0,5,0,0,0,0,0,0,1,13,1,0,0,0,0,0,14,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSetMaximumItemCount/0,false,398,2,0,0,0,1,6,11,0,1,0,6,0,0,0,0,0,0,1,12,1,0,0,0,0,0,19,1,0,true
C:\Users\NatanaelDjajadi\repouni\exp_real\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testHashCode/0,false,78,2,0,0,0,1,3,22,0,2,0,3,0,0,0,0,0,0,2,14,2,0,0,0,0,0,15,1,0,true
